id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
163	(819, 206)	1550.8742649770033	158.1658933656331	154.8307342529297	49.24950972208838	40.7143661971352	2355.178637272216	222.90748898678413	10.999029	11.332995	58.75683	12.865772	2
164	(767, 474)	1280.0558908575754	157.71999338124817	2.8948471546173096	67.62395755024967	27.14866366014699	1576.5879407712162	194.7136563876652	14.411629	9.028201	0.0	13.748179	2
165	(744, 404)	1756.0985076364766	168.5064608305036	178.98388671875	64.0467960290505	38.835626060422065	2306.4682023714804	216.74008810572687	29.025433	10.098891	8.791751	12.45088	2
166	(681, 471)	40.46265209881814	32.03873208966024	84.85456085205078	3.624029729823508	15.746850747010647	197.17052533524813	69.60352422907489	12.514807	23.842943	25.549084	12.667855	2
167	(725, 326)	1180.5003008014905	140.5523448263496	175.13462829589844	57.805283585333896	29.862208815370863	2158.590308370044	204.40528634361235	24.563549	59.807613	9.725738	24.93237	2
168	(737, 125)	2174.0185138465718	192.40189732959092	179.52720642089844	80.55484893265584	38.29942372436892	2715.946360301966	240.5286343612335	17.081064	10.537599	10.580886	14.470375	2
169	(735, 38)	1982.1847891478585	185.9138260328822	172.22994995117188	74.97508054666412	36.20560955132288	2500.727745541346	223.78854625550662	17.951677	1.2507809	10.351104	21.020582	2
170	(708, 209)	1288.4007063983388	145.1714114470629	159.3880157470703	48.114132607992495	38.58915473734691	2197.791534863863	211.45374449339207	20.112995	10.096714	57.68744	19.612194	2
171	(653, 317)	75.39443808340934	46.50059423782752	94.9931640625	4.688216282880048	21.93802195355497	440.7226998389257	106.6079295154185	20.18331	60.509377	29.527092	16.572224	10
172	(650, 124)	74.03597973956413	60.232564688779185	90.17572784423828	4.443146585626043	28.16431765092413	383.47338391973454	106.6079295154185	16.509169	36.6249	24.525805	11.622092	2
173	(653, 471)	163.7912631721943	50.194328051831754	82.80796813964844	12.4170053781218	18.26791877337174	395.31137805895713	89.86784140969164	10.740364	23.872694	23.489801	12.854256	2
174	(645, 29)	80.34310776455976	55.78300291221047	95.87382507324219	4.236717882557357	22.77828432310612	348.7356634128355	96.91629955947137	18.70803	15.414887	40.223896	12.793103	2
175	(645, 402)	272.1768324632731	73.57365307828928	89.66187286376953	11.071268939621655	33.866472962993065	714.9372198179666	125.1101321585903	13.496379	33.51851	24.034033	25.803907	2
176	(637, 210)	147.58679578489782	58.016953436813694	94.89148712158203	7.362665071664868	26.13045572477226	530.9631469657862	118.06167400881057	15.458938	26.381565	61.705173	15.103548	2
177	(623, 125)	143.80251896990046	60.70440062342236	92.38394927978516	6.841910232300569	29.85646400945654	575.404141357294	117.1806167400881	21.104956	45.32515	30.729006	16.65021	9
178	(620, 471)	127.20992062721963	44.28498293334692	80.24883270263672	10.194175219851637	16.6219523755767	335.1510799743834	81.05726872246696	11.089666	26.215368	25.658625	10.095566	2
179	(616, 32)	115.17786101030488	51.33344108312666	97.33781433105469	6.490667961113208	22.413773435558547	472.1613072250577	100.44052863436123	20.227203	24.54094	46.425735	19.026093	8
180	(618, 318)	218.323662403695	60.09973838991005	101.2527847290039	12.68846437735387	22.418139496286155	699.606047080285	125.99118942731278	18.387213	62.31679	30.571825	19.708223	2
